Stock Name,Entry date,Entry price,Entry Amount,Quantity,Exit date,Exit price,Exit amount,PNL,ST/LT,Tax,Corpus available
VTL,01-Dec-15,155.52,851005.44,5472,02-May-16,176.74,967121.28,116115.84,ST,23223.17,96.01
SECURKLOUD,01-Apr-16,755.34,718328.34,951,19-May-16,593.44,564361.44,-153966.9,ST,0.0,564457.45
TATAELXSI,01-Dec-15,1002.47,851097.03,849,01-Jun-16,891.7,757053.3,-94043.73,ST,0.0,10.52
DISHMAN,01-Dec-15,161.88,851003.16,5257,01-Jun-16,152.15,799852.55,-51150.61,ST,0.0,10.52
JUBLPHARMA,01-Feb-16,358.4,674150.4,1881,01-Jun-16,363.05,682897.05,8746.65,ST,0.0,10.52
GAYAPROJ,01-Mar-16,119.39,596353.05,4995,01-Jun-16,111.31,555993.45,-40359.6,ST,0.0,10.52
ICIL,01-Apr-16,197.29,719122.05,3645,01-Jun-16,188.42,686790.9,-32331.15,ST,0.0,10.52
RAJESHEXPO,02-May-16,592.8,692390.4,1168,01-Jun-16,563.95,658693.6,-33696.8,ST,0.0,10.52
VAKRANGEE,01-Mar-16,106.83,596325.06,5582,08-Jun-16,84.43,471288.26,-125036.8,ST,0.0,471298.78
WELSPUNLIV,01-Dec-15,86.59,851093.11,9829,01-Jul-16,107.2,1053668.8,202575.69,ST,21561.85,49.32
ASHOKLEY,01-Dec-15,93.4,851060.8,9112,01-Jul-16,99.4,905732.8,54672.0,ST,5819.21,49.32
CHENNPETRO,01-Mar-16,178.5,596368.5,3341,01-Jul-16,198.05,661685.05,65316.55,ST,6952.2,49.32
KWALITY,01-Apr-16,115.8,719118.0,6210,01-Jul-16,109.75,681547.5,-37570.5,ST,0.0,49.32
TIDEWATER,01-Apr-16,1313.84,718670.48,547,01-Jul-16,1106.66,605343.02,-113327.46,ST,0.0,49.32
AARTIIND,01-Mar-16,110.31,596446.17,5407,01-Aug-16,140.7,760764.9,164318.73,ST,32843.98,107.43
TNPL,01-Jun-16,281.6,672179.2,2387,01-Aug-16,281.55,672059.85,-119.35,ST,0.0,107.43
MHRIL,01-Jun-16,183.33,672087.78,3666,01-Aug-16,188.73,691884.18,19796.4,ST,3956.9,107.43
SECURKLOUD,01-Jul-16,686.19,723930.45,1055,01-Aug-16,699.77,738257.35,14326.9,ST,2863.66,107.43
3MINDIA,01-Dec-15,11406.0,844044.0,74,01-Sep-16,12873.6,952646.4,108602.4,ST,20262.09,43.3
HIMATSEIDE,02-May-16,243.6,693042.0,2845,01-Sep-16,258.65,735859.25,42817.25,ST,7988.47,43.3
BALRAMCHIN,02-May-16,108.15,693025.2,6408,01-Sep-16,104.75,671238.0,-21787.2,ST,0.0,43.3
ATUL,01-Jun-16,1874.05,670909.9,358,01-Sep-16,2178.85,780028.3,109118.4,ST,20358.36,43.3
GAYAPROJ,01-Jul-16,126.01,724179.47,5747,01-Sep-16,134.68,774005.96,49826.49,ST,9296.19,43.3
WONDERLA,01-Jul-16,402.4,723917.6,1799,01-Sep-16,410.25,738039.75,14122.15,ST,2634.79,43.3
YESBANK,01-Sep-16,272.97,765134.91,2803,03-Oct-16,254.05,712102.15,-53032.76,ST,0.0,70.45
KAJARIACER,01-Jul-16,600.05,724260.35,1207,01-Nov-16,638.35,770488.45,46228.1,ST,0.0,101.79
FINPIPE,01-Aug-16,94.06,705826.24,7504,01-Nov-16,91.46,686315.84,-19510.4,ST,0.0,101.79
TRENT,01-Sep-16,219.62,765156.08,3484,01-Nov-16,207.35,722407.4,-42748.68,ST,0.0,101.79
BAJFINANCE,01-Dec-15,560.38,854579.5,1525,01-Dec-16,914.2,1394155.0,539575.5,LT,53957.55,15855555.97
CANFINHOME,01-Dec-15,193.31,854816.82,4422,01-Dec-16,338.76,1497996.72,643179.9,LT,64317.99,15855555.97
PETRONET,01-Mar-16,123.7,596481.4,4822,01-Dec-16,190.75,919796.5,323315.1,ST,21291.06,15855555.97
BIOCON,01-Jun-16,119.09,672620.32,5648,01-Dec-16,154.21,870978.08,198357.76,ST,13062.33,15855555.97
CHOLAFIN,01-Jun-16,196.19,672539.32,3428,01-Dec-16,192.39,659512.92,-13026.4,ST,0.0,15855555.97
RAMCOCEM,01-Jun-16,488.6,672313.6,1376,01-Dec-16,599.05,824292.8,151979.2,ST,10008.19,15855555.97
VGUARD,01-Jun-16,96.79,673077.66,6954,01-Dec-16,120.64,838930.56,165852.9,ST,10921.81,15855555.97
DCMSHRIRAM,01-Jul-16,221.45,724141.5,3270,01-Dec-16,217.35,710734.5,-13407.0,ST,0.0,15855555.97
MANAPPURAM,01-Jul-16,72.0,724464.0,10062,01-Dec-16,74.25,747103.5,22639.5,ST,1490.86,15855555.97
BAJAJFINSV,01-Aug-16,282.88,705785.6,2495,01-Dec-16,293.93,733355.35,27569.75,ST,1815.53,15855555.97
JSWSTEEL,01-Aug-16,168.97,705787.69,4177,01-Dec-16,167.64,700232.28,-5555.41,ST,0.0,15855555.97
CAPF,01-Aug-16,750.1,705844.1,941,01-Dec-16,552.3,519714.3,-186129.8,ST,0.0,15855555.97
IGL,01-Sep-16,78.4,765262.4,9761,01-Dec-16,83.55,815531.55,50269.15,ST,3310.34,15855555.97
MUTHOOTFIN,01-Sep-16,363.4,764957.0,2105,01-Dec-16,301.9,635499.5,-129457.5,ST,0.0,15855555.97
PEL,01-Sep-16,1827.3,763811.4,418,01-Dec-16,1630.85,681695.3,-82116.1,ST,0.0,15855555.97
LAKSHVILAS,01-Sep-16,140.3,767020.1,5467,01-Dec-16,149.05,814856.35,47836.25,ST,3150.13,15855555.97
ESCORTS,03-Oct-16,406.9,712075.0,1750,01-Dec-16,318.95,558162.5,-153912.5,ST,0.0,15855555.97
CUB,01-Nov-16,123.64,726385.0,5875,01-Dec-16,112.77,662523.75,-63861.25,ST,0.0,15855555.97
MOTILALOFS,01-Nov-16,144.94,726439.28,5012,01-Dec-16,133.79,670555.48,-55883.8,ST,0.0,15855555.97
VAKRANGEE,01-Nov-16,127.23,726356.07,5709,01-Dec-16,137.88,787156.92,60800.85,ST,4003.88,15855555.97
MOIL,02-Jan-17,184.3,792674.3,4301,01-Feb-17,181.23,779470.23,-13204.07,ST,0.0,123.09
BALRAMCHIN,02-Jan-17,130.25,792701.5,6086,01-Feb-17,144.05,876688.3,83986.8,ST,6692.03,123.09
BALMLAWRIE,02-Jan-17,156.33,792749.43,5071,01-Feb-17,148.97,755426.87,-37322.56,ST,0.0,123.09
HINDZINC,02-Jan-17,259.55,792665.7,3054,01-Mar-17,318.2,971782.8,179117.1,ST,33192.01,42.58
FINCABLES,02-Jan-17,404.4,792624.0,1960,01-Mar-17,441.1,864556.0,71932.0,ST,13329.64,42.58
JSWSTEEL,02-Jan-17,163.43,792798.93,4851,01-Mar-17,189.8,920719.8,127920.87,ST,23704.88,42.58
VAKRANGEE,02-Jan-17,137.28,792792.0,5775,01-Mar-17,157.73,910890.75,118098.75,ST,21884.76,42.58
CUB,01-Feb-17,126.9,801627.3,6317,01-Mar-17,121.12,765115.04,-36512.26,ST,0.0,42.58
YESBANK,02-Jan-17,228.93,792784.59,3463,03-Apr-17,307.77,1065807.51,273022.92,ST,51219.01,29.15
FLFL,01-Mar-17,195.5,868020.0,4440,03-Apr-17,272.4,1209456.0,341436.0,ST,64053.28,29.15
CCL,01-Mar-17,354.35,868157.5,2450,03-Apr-17,338.8,830060.0,-38097.5,ST,0.0,29.15
VEDL,02-Jan-17,220.95,792768.6,3588,02-May-17,241.85,867757.8,74989.2,ST,14997.84,560.78
HINDALCO,02-Jan-17,158.85,792661.5,4990,02-May-17,200.25,999247.5,206586.0,ST,41317.2,560.78
HINDPETRO,02-Jan-17,200.0,792800.0,3964,02-May-17,245.6,973558.4,180758.4,ST,36151.68,560.78
MANAPPURAM,01-Feb-17,84.0,801612.0,9543,02-May-17,94.0,897042.0,95430.0,ST,19086.0,560.78
VTL,01-Feb-17,256.92,801590.4,3120,02-May-17,265.22,827486.4,25896.0,ST,5179.2,560.78
SWANENERGY,02-Jan-17,160.55,792795.9,4938,25-May-17,125.1,617743.8,-175052.1,ST,0.0,618304.58
BIOCON,02-Jan-17,158.66,792824.02,4997,01-Jun-17,159.48,796921.56,4097.54,ST,0.0,50.79
SHARDACROP,02-Jan-17,452.4,792604.8,1752,01-Jun-17,497.95,872408.4,79803.6,ST,0.0,50.79
GNFC,03-Apr-17,292.95,996615.9,3402,01-Jun-17,301.6,1026043.2,29427.3,ST,0.0,50.79
SUNTV,02-May-17,923.95,888839.9,962,01-Jun-17,803.7,773159.4,-115680.5,ST,0.0,50.79
GUJALKALI,02-May-17,463.7,889840.3,1919,01-Jun-17,415.6,797536.4,-92303.9,ST,0.0,50.79
VGUARD,02-Jan-17,116.61,792831.39,6799,03-Jul-17,174.45,1186085.55,393254.16,ST,60173.59,1774.22
INDIANB,02-Jan-17,222.6,792678.6,3561,03-Jul-17,286.05,1018624.05,225945.45,ST,34572.93,1774.22
SUDARSCHEM,03-Apr-17,353.0,996519.0,2823,03-Jul-17,379.4,1071046.2,74527.2,ST,11403.74,1774.22
VIJAYABANK,02-May-17,80.45,889857.45,11061,03-Jul-17,72.3,799710.3,-90147.15,ST,0.0,1774.22
RECLTD,01-Jun-17,142.05,813946.5,5730,03-Jul-17,129.34,741118.2,-72828.3,ST,0.0,1774.22
JMFINANCIL,02-May-17,117.1,889842.9,7599,01-Aug-17,119.9,911120.1,21277.2,ST,0.0,134.25
